iter	Logloss
0	0.6725754674
1	0.6535650145
2	0.6364590944
3	0.6206551347
4	0.6056018645
5	0.5920962707
6	0.5800641183
7	0.5687768631
8	0.5579937769
9	0.5484621487
10	0.5397214259
11	0.5313297813
12	0.523728674
13	0.5166086516
14	0.5103000464
15	0.5040017692
16	0.4982604514
17	0.4931758482
18	0.4881353211
19	0.4836503637
20	0.4794868486
21	0.4755497799
22	0.4720399214
23	0.468871235
24	0.4659702722
25	0.4631040863
26	0.4604316593
27	0.457862198
28	0.4557724273
29	0.4536887027
30	0.4516174411
31	0.4496994117
32	0.4479420924
33	0.4462524187
34	0.4446940479
35	0.4432899897
36	0.4418894792
37	0.4406276691
38	0.4395451288
39	0.4385063522
40	0.4374397465
41	0.4364154016
42	0.4353460857
43	0.4343891893
44	0.4334737335
45	0.4327478128
46	0.4319161763
47	0.4312601865
48	0.4305316481
49	0.4299352434
50	0.4292001317
51	0.4286237186
52	0.4280791795
53	0.4274545402
54	0.4269787619
55	0.4264768098
56	0.425978034
57	0.4254768777
58	0.424981072
59	0.4245521791
60	0.4240883687
61	0.4235593578
62	0.423226375
63	0.4228114763
64	0.4223609805
65	0.4219697882
66	0.4216395681
67	0.4212430298
68	0.4209086407
69	0.4206225876
70	0.4203128431
71	0.4199029729
72	0.4196277057
73	0.4192972047
74	0.4189891874
75	0.4187655211
76	0.4185279199
77	0.4183061452
78	0.4179835466
79	0.4177803018
80	0.4174684957
81	0.4172746563
82	0.4170076366
83	0.4168205426
84	0.4165431326
85	0.4162176113
86	0.415984989
87	0.4157659796
88	0.4155205135
89	0.4152664913
90	0.4150997131
91	0.4149078489
92	0.4146269999
93	0.4144309819
94	0.4141754123
95	0.4139037963
96	0.4137711633
97	0.4135875038
98	0.4133234911
99	0.4131033292
100	0.4128960845
101	0.4126548131
102	0.4124773774
103	0.4122721485
104	0.4121365423
105	0.4119065546
106	0.4116855608
107	0.4114850116
108	0.4112976866
109	0.411122455
110	0.4109517191
111	0.4107632992
112	0.4105743727
113	0.4104116731
114	0.4102269388
115	0.4100297336
116	0.4098538087
117	0.4096739234
118	0.4094743523
119	0.4093140132
120	0.4091137904
121	0.4088972259
122	0.4087355363
123	0.4085858327
124	0.4085016738
125	0.4083572859
126	0.4082437625
127	0.4081076152
128	0.4079698855
129	0.4078086154
130	0.4076966226
131	0.407610299
132	0.4073946571
133	0.4073048005
134	0.4071239654
135	0.406968273
136	0.4068624144
137	0.4066940091
138	0.4065321419
139	0.4064067736
140	0.4063092101
141	0.4060897197
142	0.4059549665
143	0.4058454385
144	0.4057545975
145	0.405599752
146	0.4054340823
147	0.4053881724
148	0.4052123568
149	0.4050182471
150	0.4048847799
151	0.404762885
152	0.404623954
153	0.4044539942
154	0.4043017338
155	0.4041158509
156	0.4040131898
157	0.4039106784
158	0.4038044458
159	0.4037281867
160	0.4036583502
161	0.4034172689
162	0.4033020139
163	0.4031794401
164	0.4029978714
165	0.402832458
166	0.4027246761
167	0.4025884197
168	0.4024733448
169	0.4023561346
170	0.4022059653
171	0.4020923592
172	0.4020022213
173	0.4018012208
174	0.4016958766
175	0.4015467517
176	0.4014310552
177	0.4012452159
178	0.4011075758
179	0.401036646
180	0.400892417
181	0.4007155255
182	0.4006174217
183	0.4005295835
184	0.4003658422
185	0.4002040756
186	0.4001089049
187	0.3999524747
188	0.3998237847
189	0.399702134
190	0.3995790941
191	0.399443729
192	0.3993059884
193	0.3992408685
194	0.3990926485
195	0.3989611956
196	0.398838667
197	0.398661718
198	0.3985143178
199	0.3984224731
200	0.398323813
201	0.3981901315
202	0.3981366161
203	0.3980429998
204	0.3978733145
205	0.3977937555
206	0.397724811
207	0.3975950017
208	0.3975448567
209	0.3974646914
210	0.3973213779
211	0.3971426469
212	0.3970063403
213	0.3969325171
214	0.3967120663
215	0.3965352982
216	0.3964682639
217	0.3963636639
218	0.3961951812
219	0.3960923989
220	0.3960214042
221	0.3959118068
222	0.3957489643
223	0.3956108853
224	0.3955311777
225	0.3953124527
226	0.3952244371
227	0.3950781466
228	0.3949218428
229	0.3947993481
230	0.3946861453
231	0.3945140023
232	0.3944352859
233	0.3943447188
234	0.3942324973
235	0.3941465104
236	0.3940246541
237	0.3938516738
238	0.3937363601
239	0.3935882749
240	0.3934372308
241	0.3932857804
242	0.3931397919
243	0.3930352914
244	0.3929546154
245	0.392773792
246	0.3926796094
247	0.3924452128
248	0.3923221138
249	0.3922062272
250	0.3921034907
251	0.3919268828
252	0.3917682947
253	0.3915956882
254	0.3914757324
255	0.3912503142
256	0.3911445003
257	0.3910568704
258	0.3909980015
259	0.3909010869
260	0.390818309
261	0.3907144736
262	0.3905443272
263	0.3904637457
264	0.3903530989
265	0.3902356149
266	0.3900602221
267	0.3898937453
268	0.3898347247
269	0.3896843309
270	0.3895254427
271	0.3894143799
272	0.3891835702
273	0.3890388568
274	0.3888355844
275	0.3886582157
276	0.3884797615
277	0.3883177133
278	0.3881850429
279	0.388022509
280	0.3878570334
281	0.3877121549
282	0.3875912692
283	0.3874066462
284	0.387253315
285	0.3870780609
286	0.3869315066
287	0.3867964262
288	0.3866174715
289	0.3864029472
290	0.3863148905
291	0.3861906701
292	0.3860794998
293	0.3859393149
294	0.3857183389
295	0.3856091869
296	0.3854628555
297	0.3852674162
298	0.3850435594
299	0.3848438508
300	0.3846710086
301	0.3845921594
