iter	Passed	Remaining
0	13	13403
1	24	12189
2	35	11818
3	46	11606
4	59	11818
5	71	11781
6	82	11715
7	94	11706
8	106	11762
9	117	11622
10	130	11714
11	142	11718
12	155	11815
13	166	11747
14	179	11819
15	192	11814
16	203	11773
17	215	11745
18	226	11699
19	237	11660
20	249	11608
21	260	11599
22	273	11602
23	285	11606
24	296	11556
25	308	11552
26	320	11538
27	331	11503
28	343	11491
29	355	11478
30	367	11479
31	379	11482
32	391	11469
33	402	11437
34	414	11415
35	426	11427
36	438	11424
37	450	11413
38	461	11364
39	472	11329
40	482	11297
41	493	11252
42	503	11206
43	513	11163
44	524	11123
45	534	11079
46	544	11042
47	554	11007
48	565	10978
49	576	10952
50	587	10925
51	597	10894
52	609	10885
53	619	10860
54	630	10833
55	641	10808
56	651	10785
57	662	10759
58	673	10735
59	684	10721
60	694	10694
61	705	10680
62	716	10652
63	726	10630
64	737	10607
65	748	10588
66	759	10581
67	770	10564
68	782	10552
69	793	10546
70	807	10563
71	819	10557
72	830	10543
73	841	10529
74	852	10508
75	866	10532
76	877	10524
77	889	10518
78	901	10506
79	914	10517
80	930	10557
81	943	10561
82	957	10575
83	968	10556
84	984	10600
85	999	10617
86	1010	10601
87	1025	10624
88	1045	10697
89	1062	10742
90	1076	10755
91	1091	10768
92	1108	10807
93	1121	10813
94	1137	10834
95	1151	10841
96	1167	10869
97	1179	10855
98	1196	10891
99	1212	10913
100	1225	10904
101	1237	10894
102	1252	10911
103	1267	10916
104	1282	10928
105	1293	10912
106	1308	10920
107	1322	10924
108	1338	10937
109	1348	10910
110	1360	10893
111	1371	10872
112	1381	10847
113	1393	10830
114	1408	10836
115	1419	10821
116	1430	10799
117	1443	10789
118	1455	10776
119	1465	10748
120	1476	10726
121	1488	10708
122	1499	10693
123	1512	10686
124	1523	10665
125	1535	10649
126	1546	10630
127	1558	10619
128	1571	10607
129	1582	10590
130	1597	10599
131	1609	10582
132	1622	10573
133	1633	10555
134	1644	10536
135	1658	10533
136	1670	10523
137	1681	10505
138	1693	10491
139	1704	10472
140	1716	10455
141	1727	10438
142	1742	10444
143	1758	10453
144	1769	10435
145	1782	10426
146	1792	10404
147	1803	10380
148	1814	10362
149	1825	10345
150	1836	10325
151	1846	10303
152	1857	10281
153	1867	10259
154	1878	10239
155	1888	10217
156	1898	10195
157	1911	10188
158	1923	10173
159	1937	10170
160	1948	10154
161	1960	10142
162	1972	10128
163	1983	10111
164	1998	10111
165	2010	10101
166	2020	10080
167	2033	10068
168	2044	10051
169	2057	10045
170	2070	10036
171	2081	10018
172	2091	9999
173	2105	9993
174	2115	9975
175	2128	9963
176	2140	9953
177	2156	9960
178	2170	9954
179	2185	9955
180	2201	9962
181	2214	9951
182	2232	9968
183	2245	9958
184	2260	9956
185	2273	9947
186	2288	9950
187	2303	9951
188	2315	9937
189	2328	9925
190	2342	9920
191	2352	9902
192	2364	9886
193	2375	9870
194	2386	9852
195	2398	9838
196	2409	9821
197	2420	9803
198	2431	9786
199	2441	9767
200	2452	9748
201	2463	9730
202	2473	9710
203	2483	9690
204	2494	9672
205	2505	9657
206	2516	9639
207	2527	9624
208	2538	9606
209	2549	9590
210	2560	9573
211	2571	9557
212	2581	9539
213	2592	9521
214	2603	9505
215	2616	9495
216	2628	9485
217	2639	9468
218	2650	9451
219	2660	9433
220	2671	9415
221	2681	9397
222	2691	9378
223	2701	9360
224	2712	9342
225	2723	9325
226	2733	9308
227	2744	9291
228	2755	9277
229	2766	9260
230	2776	9243
231	2787	9228
232	2797	9209
233	2808	9192
234	2819	9177
235	2830	9164
236	2841	9147
237	2851	9131
238	2863	9116
239	2873	9099
240	2884	9082
241	2895	9070
242	2907	9056
243	2918	9042
244	2929	9026
245	2940	9013
246	2951	8996
247	2962	8984
248	2973	8967
249	2984	8952
250	2994	8934
251	3004	8918
252	3015	8902
253	3026	8887
254	3037	8875
255	3048	8859
256	3060	8849
257	3071	8833
258	3081	8817
259	3092	8801
260	3103	8788
261	3115	8774
262	3125	8758
263	3136	8745
264	3147	8730
265	3159	8719
266	3171	8706
267	3183	8694
268	3195	8684
269	3206	8670
270	3218	8658
271	3230	8646
272	3242	8633
273	3254	8622
274	3265	8609
275	3277	8597
276	3288	8582
277	3299	8569
278	3311	8557
279	3322	8542
280	3335	8534
281	3346	8520
282	3358	8509
283	3369	8495
284	3381	8483
285	3393	8470
286	3404	8458
287	3416	8446
288	3428	8434
289	3443	8431
290	3454	8417
291	3466	8406
292	3478	8392
293	3489	8378
294	3501	8367
295	3512	8353
296	3523	8340
297	3534	8325
298	3546	8314
299	3558	8303
300	3571	8293
301	3582	8280
302	3596	8273
303	3608	8261
304	3622	8253
305	3634	8242
306	3647	8234
307	3662	8227
308	3675	8219
309	3690	8214
310	3715	8230
311	3736	8239
312	3753	8238
313	3765	8225
314	3782	8224
315	3798	8221
316	3810	8209
317	3824	8202
318	3840	8197
319	3851	8185
320	3864	8173
321	3874	8159
322	3887	8147
323	3898	8133
324	3908	8117
325	3920	8105
326	3930	8089
327	3943	8079
328	3954	8065
329	3965	8051
330	3976	8038
331	3993	8034
332	4010	8032
333	4027	8030
334	4039	8019
335	4054	8012
336	4070	8007
337	4087	8006
338	4101	7997
339	4115	7989
340	4129	7981
341	4144	7974
342	4160	7970
343	4172	7957
344	4183	7942
345	4193	7926
346	4204	7912
347	4214	7896
348	4225	7881
349	4235	7866
350	4246	7851
351	4257	7837
352	4268	7822
353	4278	7808
354	4289	7793
355	4300	7779
356	4310	7764
357	4322	7750
358	4332	7736
359	4343	7721
360	4354	7707
361	4365	7693
362	4376	7679
363	4386	7665
364	4397	7650
365	4407	7635
366	4418	7621
367	4428	7605
368	4439	7591
369	4450	7577
370	4460	7562
371	4471	7547
372	4481	7533
373	4492	7518
374	4504	7508
375	4515	7494
376	4527	7481
377	4537	7467
378	4548	7453
379	4559	7438
380	4569	7424
381	4580	7410
382	4591	7396
383	4601	7381
384	4611	7367
385	4622	7352
386	4632	7338
387	4643	7324
388	4654	7311
389	4666	7298
390	4677	7284
391	4689	7273
392	4700	7259
393	4710	7245
394	4721	7232
395	4732	7218
396	4744	7206
397	4754	7192
398	4764	7177
399	4775	7163
400	4785	7149
401	4797	7136
402	4808	7123
403	4819	7109
404	4829	7095
405	4840	7081
406	4851	7068
407	4861	7054
408	4872	7041
409	4883	7026
410	4893	7012
411	4903	6998
412	4914	6984
413	4925	6971
414	4935	6957
415	4945	6943
416	4956	6929
417	4966	6915
418	4977	6901
419	4987	6887
420	4998	6873
421	5009	6861
422	5020	6847
423	5030	6833
424	5040	6819
425	5051	6806
426	5061	6792
427	5072	6778
428	5082	6764
429	5092	6751
430	5103	6737
431	5113	6723
432	5124	6710
433	5134	6696
434	5146	6685
435	5157	6672
436	5169	6659
437	5180	6646
438	5190	6632
439	5200	6618
440	5211	6605
441	5221	6591
442	5231	6578
443	5242	6564
444	5252	6551
445	5263	6538
446	5274	6524
447	5284	6511
448	5295	6498
449	5305	6484
450	5316	6471
451	5326	6458
452	5337	6445
453	5348	6432
454	5360	6420
455	5371	6407
456	5381	6393
457	5391	6380
458	5402	6367
459	5412	6354
460	5423	6341
461	5434	6328
462	5446	6316
463	5456	6303
464	5467	6290
465	5478	6278
466	5489	6265
467	5499	6252
468	5511	6239
469	5521	6226
470	5532	6213
471	5542	6200
472	5553	6187
473	5564	6174
474	5574	6161
475	5585	6149
476	5596	6136
477	5607	6123
478	5617	6110
479	5629	6098
480	5639	6085
481	5651	6073
482	5663	6062
483	5675	6050
484	5697	6049
485	5715	6045
486	5729	6035
487	5744	6027
488	5769	6029
489	5782	6018
490	5793	6005
491	5806	5994
492	5822	5987
493	5837	5979
494	5851	5969
495	5863	5958
496	5875	5946
497	5885	5933
498	5896	5920
499	5907	5907
500	5917	5894
501	5928	5881
502	5939	5868
503	5950	5856
504	5961	5843
505	5991	5849
506	6008	5842
507	6023	5834
508	6035	5822
509	6049	5812
510	6061	5800
511	6074	5789
512	6087	5778
513	6099	5766
514	6110	5754
515	6122	5742
516	6133	5730
517	6147	5720
518	6158	5708
519	6170	5695
520	6182	5683
521	6194	5671
522	6206	5660
523	6217	5647
524	6230	5637
525	6243	5625
526	6259	5618
527	6274	5609
528	6285	5596
529	6296	5583
530	6311	5574
531	6324	5563
532	6336	5552
533	6348	5539
534	6360	5527
535	6371	5515
536	6382	5503
537	6394	5490
538	6404	5478
539	6415	5465
540	6426	5452
541	6437	5439
542	6448	5426
543	6459	5414
544	6470	5402
545	6483	5391
546	6494	5378
547	6506	5366
548	6517	5354
549	6530	5342
550	6541	5330
551	6553	5319
552	6564	5306
553	6577	5294
554	6588	5282
555	6598	5269
556	6610	5257
557	6621	5245
558	6633	5233
559	6644	5220
560	6657	5209
561	6668	5197
562	6683	5187
563	6696	5176
564	6708	5164
565	6719	5152
566	6730	5139
567	6741	5127
568	6753	5115
569	6764	5102
570	6774	5090
571	6787	5078
572	6798	5066
573	6809	5053
574	6820	5040
575	6831	5028
576	6842	5016
577	6854	5004
578	6866	4992
579	6878	4981
580	6890	4968
581	6901	4956
582	6912	4944
583	6924	4932
584	6935	4920
585	6946	4907
586	6956	4894
587	6967	4881
588	6977	4868
589	6988	4856
590	6998	4843
591	7008	4830
592	7018	4817
593	7029	4804
594	7039	4791
595	7050	4778
596	7060	4766
597	7070	4753
598	7080	4740
599	7092	4728
600	7102	4715
601	7113	4702
602	7124	4690
603	7135	4678
604	7145	4665
605	7156	4653
606	7167	4640
607	7177	4627
608	7187	4614
609	7197	4601
610	7208	4589
611	7219	4576
612	7230	4564
613	7241	4552
614	7253	4540
615	7265	4529
616	7275	4516
617	7286	4503
618	7296	4491
619	7307	4478
620	7317	4466
621	7328	4453
622	7338	4440
623	7349	4428
624	7360	4416
625	7370	4403
626	7380	4390
627	7393	4379
628	7404	4367
629	7415	4355
630	7427	4343
631	7438	4331
632	7448	4318
633	7459	4306
634	7469	4293
635	7479	4280
636	7489	4268
637	7501	4256
638	7511	4243
639	7523	4232
640	7533	4219
641	7544	4207
642	7555	4195
643	7567	4183
644	7577	4170
645	7587	4157
646	7598	4145
647	7612	4135
648	7634	4129
649	7649	4119
650	7666	4109
651	7686	4102
652	7697	4090
653	7714	4081
654	7727	4070
655	7740	4059
656	7755	4049
657	7768	4037
658	7778	4025
659	7789	4012
660	7801	4001
661	7816	3990
662	7829	3979
