Borough,neighborhood,lat,long
downTown,Alexandra Park,43.65075755,-79.40429787
downTown,Baldwin Village,43.66981815,-79.49717203
downTown,Bedford Park,43.7373876,-79.4109253
downTown,Bloor West Village,43.6493184,-79.4844358
downTown,Bracondale Hill,43.6761247,-79.4279997
downTown,Brockton Village,43.6509891,-79.440029
downTown,Cabbagetown,43.6644734,-79.3669861
downTown,Carleton Village,43.6707205,-79.4532778
downTown,Casa Loma,43.67811065,-79.40940823
downTown,Chaplin Estates,43.7025981,-79.4032704
downTown,Chinatown,43.6529237,-79.3980316
downTown,Church and Wellesley,43.6655242,-79.3838011
downTown,CityPlace,43.6392482,-79.3963865
downTown,Corktown,43.6573709,-79.3565189
downTown,Corso Italia,43.677954,-79.4430828
downTown,Davenport,43.6749283,-79.39386837
downTown,Davisville Village,43.7043123,-79.3885169
downTown,Deer Park,43.68809,-79.3940935
downTown,Discovery District,43.6575555,-79.3894803
downTown,Distillery District,43.6502803,-79.3595767
downTown,Dovercourt Park,43.6651844,-79.43350484
downTown,Dufferin Grove,43.6536156,-79.4263889
downTown,Earlscourt,43.6762773,-79.4505723
downTown,East Danforth,43.6863598,-79.3003158
downTown,Fashion District,43.6454561,-79.3949942
downTown,Financial District,43.64866395,-79.38153389
downTown,Forest Hill,43.6935586,-79.4139023
downTown,Fort York,43.6386801,-79.40350123
downTown,Garden District,43.6565019,-79.3771275
downTown,Gerrard Street East,43.6700364,-79.3319866
downTown,Grange Park,43.65214745,-79.39226499
downTown,Harbord Village,43.6615225,-79.4097446
downTown,Harbourfront,43.6400801,-79.3801495
downTown,High Park,43.64628135,-79.46382138
downTown,Junction Triangle,43.6654775,-79.470352
downTown,Kensington Market,43.6552136,-79.4022604
downTown,Koreatown,43.6635564,-79.4184157
downTown,Lawrence Park,43.729199,-79.4032525
downTown,Leslieville,43.6627,-79.3328148
downTown,Liberty Village,43.6388951,-79.4179531
downTown,Little Italy,43.6552079,-79.4148769
downTown,Beaconsfield Village,43.6430782,-79.4249597
downTown,Little Portugal,43.6496309,-79.4314332
downTown,Little Tibet,43.6389445,-79.4273119
downTown,Lytton Park,43.7159986,-79.412291
downTown,Main Square,43.68774405,-79.30046097
downTown,Midtown,43.7057358,-79.39756692
downTown,Moore Park,43.6903876,-79.3832965
downTown,Moss Park,43.6546438,-79.3697278
downTown,Niagara,43.6434701,-79.4082484
downTown,North Toronto,43.653963,-79.387207
downTown,Old Town,43.6590055,-79.4388582
downTown,Mirvish Village,43.6651321,-79.411205
downTown,Palmerston,43.6609547,-79.4121667
downTown,Parkdale,43.6371777,-79.4360045
downTown,Port Lands,43.6430648,-79.3506012
downTown,Quayside,43.6472502,-79.35817208
downTown,Queen Street West,43.6405606,-79.4367827
downTown,Regent Park,43.6607056,-79.3604569
downTown,Riverdale,43.6654704,-79.3525936
downTown,Roncesvalles,43.63966125,-79.44780008
downTown,Rosedale,43.6764534,-79.3884341
downTown,Runnymede,43.6655802,-79.4821078
downTown,Seaton Village,43.6692756,-79.4159596
downTown,South Core,43.6421064,-79.3774455
downTown,South Hill,43.6779261,-79.4057671
downTown,St. James Town,43.6694032,-79.3727041
downTown,St. Lawrence,43.649422,-79.3714278
downTown,Summerhill,43.6816776,-79.3905037
downTown,Swansea,43.64494,-79.478313
downTown,The Annex,43.6703377,-79.407117
downTown,The Beaches,43.6710244,-79.296712
downTown,The Entertainment District,43.6465862,-79.389723
downTown,Toronto Islands,43.6161962,-79.3693582
downTown,Trefann Court,43.6564893,-79.3628297
downTown,Trinity–Bellwoods,43.64762725,-79.41387926
downTown,University,43.72824305,-79.37750289
downTown,Wallace Emerson,43.6667328,-79.4464779
downTown,Wanless Park,43.7289408,-79.39202745
downTown,Wychwood Park,43.677743,-79.42018498
downTown,Yonge–Eglinton,43.7067479,-79.3983271
downTown,Yorkville,43.6713861,-79.3901677
east york,Bermondsey,43.7138242,-79.3106776
east york,Crescent Town,43.695403,-79.293099
east york,Governor's Bridge,43.6894235,-79.3694257
east york,Leaside,43.7047983,-79.3680904
east york,O'Connor–Parkview,43.7070599,-79.3116303
east york,Broadview North,43.6839242,-79.3569642
east york,Pape Village,43.6893775,-79.3488243
east york,Thorncliffe Park,43.704553,-79.3454074
east york,Woodbine Heights,43.6999302,-79.3191316
Etobicoke,Alderwood,43.6017173,-79.5452325
Etobicoke,Eatonville,43.6462843,-79.5600005
Etobicoke,Centennial Park,43.65359045,-79.58886888
Etobicoke,Eringate,43.6622732,-79.5765162
Etobicoke,Humber Heights – Westmount,43.6869607,-79.5133431
Etobicoke,Humber Valley Village,43.6664717,-79.5243136
Etobicoke,Humberwood,43.72250515,-79.54631419
Etobicoke,Islington–City Centre West,43.6487953,-79.5490002
